10
6
20 	40 	60 	80 	100 	
20 	20 	20 	20 	20 	
6 	20 	20 	20 	20 	
20 	20 	20 	20 	20 	
20 	15 	20 	20 	20 	
20 	20 	20 	20 	20 	
20 	20 	20 	20 	20 	
0 	0 	0 	0 	0 	0 	
2 	8 	7 	10 	3 	5 	
6 	3 	5 	3 	5 	8 	
8 	10 	2 	8 	1 	7 	
10 	10 	8 	7 	10 	2 	
1 	2 	9 	9 	4 	10 	
9 	8 	4 	7 	6 	2 	
10 	4 	5 	9 	2 	5 	
1 	4 	10 	3 	1 	5 	
10 	3 	8 	8 	10 	9 	
7 	10 	4 	8 	8 	5 	
1 	1 	1 	1 	1 	1 	
1 	0 	0 	1 	0 	1 	
0 	0 	1 	0 	0 	0 	
0 	1 	0 	0 	0 	0 	
0 	1 	0 	1 	1 	0 	
0 	0 	1 	0 	0 	1 	
0 	1 	1 	0 	1 	0 	
0 	0 	1 	0 	1 	0 	
0 	1 	0 	0 	0 	1 	
0 	0 	0 	0 	0 	1 	
1 	0 	0 	0 	0 	0 	
